Model,Condition,Reaction,FVA Min,FVA Max,Range,Range (%)
Recon3D,High,ATPM,132.5725,133.9117,1.3392,1.0%
Recon3D,High,EX_ac_e,-8.0,-7.8326,0.1674,2.1%
Recon3D,High,EX_ppa_e,-0.0,0.0,0.0,nan%
Recon3D,High,EX_but_e,-1.6,-1.5391,0.0609,4.0%
Recon3D,High,EX_co2_e,28.6265,28.98,0.3535,1.2%
Recon3D,High,EX_o2_e,-100.0,-29.8175,70.1825,235.4%
Recon3D,Mid,ATPM,83.4685,84.3117,0.8432,1.0%
Recon3D,Mid,EX_ac_e,-4.0,-3.8946,0.1054,2.7%
Recon3D,Mid,EX_ppa_e,-0.0,0.0,0.0,nan%
Recon3D,Mid,EX_but_e,-0.8,-0.7617,0.0383,5.0%
Recon3D,Mid,EX_co2_e,17.5505,17.78,0.2295,1.3%
Recon3D,Mid,EX_o2_e,-100.0,-18.1197,81.8803,451.9%
Recon3D,Low,ATPM,58.9165,59.5117,0.5952,1.0%
Recon3D,Low,EX_ac_e,-2.0,-1.9256,0.0744,3.9%
Recon3D,Low,EX_ppa_e,-0.0,0.0,0.0,nan%
Recon3D,Low,EX_but_e,-0.4,-0.3729,0.0271,7.3%
Recon3D,Low,EX_co2_e,12.0154,12.18,0.1646,1.4%
Recon3D,Low,EX_o2_e,-100.0,-12.2762,87.7238,714.6%
Human-GEM,High,ATPM_added,176.9798,178.7675,1.7877,1.0%
Human-GEM,High,MAR09086,-8.0,-7.7833,0.2167,2.8%
Human-GEM,High,MAR09808,-2.8,-2.6828,0.1172,4.4%
Human-GEM,High,MAR09809,-1.6,-1.5187,0.0813,5.4%
Human-GEM,High,MAR09058,37.036,37.49,0.454,1.2%
Human-GEM,High,MAR09048,-43.9838,-40.1139,3.8699,9.6%
Human-GEM,Mid,ATPM_added,105.7493,106.8175,1.0682,1.0%
Human-GEM,Mid,MAR09086,-4.0,-3.8705,0.1295,3.3%
Human-GEM,Mid,MAR09808,-1.4,-1.33,0.07,5.3%
Human-GEM,Mid,MAR09809,-0.8,-0.7514,0.0486,6.5%
Human-GEM,Mid,MAR09058,21.8104,22.09,0.2796,1.3%
Human-GEM,Mid,MAR09048,-26.7241,-23.3883,3.3358,14.3%
Human-GEM,Low,ATPM_added,70.1341,70.8425,0.7084,1.0%
Human-GEM,Low,MAR09086,-2.0,-1.9141,0.0859,4.5%
Human-GEM,Low,MAR09808,-0.7,-0.6535,0.0465,7.1%
Human-GEM,Low,MAR09809,-0.4,-0.3678,0.0322,8.8%
Human-GEM,Low,MAR09058,14.1992,14.39,0.1908,1.3%
Human-GEM,Low,MAR09048,-18.0942,-15.0346,3.0596,20.4%
