model,condition,flux_cap,ATPM
Recon3D,StachysDose_Low,100,59.5117
Recon3D,StachysDose_Mid,100,84.3117
Recon3D,StachysDose_High,100,100.0
Recon3D,StachysDose_Low,200,59.5117
Recon3D,StachysDose_Mid,200,84.3117
Recon3D,StachysDose_High,200,133.9117
Recon3D,StachysDose_Low,500,59.5117
Recon3D,StachysDose_Mid,500,84.3117
Recon3D,StachysDose_High,500,133.9117
Human-GEM,StachysDose_Low,100,0.0
Human-GEM,StachysDose_Mid,100,0.0
Human-GEM,StachysDose_High,100,0.0
Human-GEM,StachysDose_Low,200,0.0
Human-GEM,StachysDose_Mid,200,0.0
Human-GEM,StachysDose_High,200,0.0
Human-GEM,StachysDose_Low,500,0.0
Human-GEM,StachysDose_Mid,500,0.0
Human-GEM,StachysDose_High,500,0.0
